2025-05-02 00:28:16,840 - INFO - Epoch: 0, Iter: 0/1, NLL: 17.5284, Reg term: 0.000, Total Grad Norm: 49.862410
2025-05-02 00:29:06,799 - INFO - Epoch: 1, Iter: 0/1, NLL: 17.3842, Reg term: 0.000, Total Grad Norm: 50.171833
2025-05-02 00:29:16,019 - INFO - Epoch: 2, Iter: 0/1, NLL: 17.2406, Reg term: 0.000, Total Grad Norm: 48.762225
2025-05-02 00:29:25,191 - INFO - Epoch: 3, Iter: 0/1, NLL: 17.0970, Reg term: 0.000, Total Grad Norm: 52.298595
2025-05-02 00:29:32,682 - INFO - Epoch: 4, Iter: 0/1, NLL: 16.9524, Reg term: 0.000, Total Grad Norm: 48.554391
2025-05-02 00:29:42,148 - INFO - Epoch: 5, Iter: 0/1, NLL: 16.8094, Reg term: 0.000, Total Grad Norm: 46.789422
2025-05-02 00:29:50,091 - INFO - Epoch: 6, Iter: 0/1, NLL: 16.6692, Reg term: 0.000, Total Grad Norm: 47.567138
2025-05-02 00:29:59,097 - INFO - Epoch: 7, Iter: 0/1, NLL: 16.5330, Reg term: 0.000, Total Grad Norm: 47.296586
2025-05-02 00:30:07,754 - INFO - Epoch: 8, Iter: 0/1, NLL: 16.3991, Reg term: 0.000, Total Grad Norm: 47.932250
2025-05-02 00:30:16,472 - INFO - Epoch: 9, Iter: 0/1, NLL: 16.2680, Reg term: 0.000, Total Grad Norm: 43.562038
2025-05-02 00:30:27,417 - INFO - Epoch: 10, Iter: 0/1, NLL: 16.1413, Reg term: 0.000, Total Grad Norm: 43.996593
2025-05-02 00:30:35,151 - INFO - Epoch: 11, Iter: 0/1, NLL: 16.0183, Reg term: 0.000, Total Grad Norm: 42.401753
2025-05-02 00:30:48,349 - INFO - Epoch: 12, Iter: 0/1, NLL: 15.8999, Reg term: 0.000, Total Grad Norm: 43.875515
2025-05-02 00:30:58,681 - INFO - Epoch: 13, Iter: 0/1, NLL: 15.7863, Reg term: 0.000, Total Grad Norm: 40.432432
